Name,Sanction,Date
"Jacqueline Q. Ripple, ATC","Suspension imposed by the Consent Order, dated May 24, 2023, is Terminated. Probation for a minimum of two years; terms and conditions.",12/31/2024
"Kessiena Aya-Olabisi, D.O. (Expired)",Suspension for a minimum of six months; terms and conditions.,12/09/2024
"Jonathan M. Ratliff, M.D.",Summary Suspension Affirmed.,12/04/2024
"Jonathan M. Ratliff, MD",Summary Suspension.,11/22/2024
"Aman K. Patel, D.O.",Summary Suspension Affirmed.,11/07/2024
"Aman K. Patel, D.O.",Summary Suspension.,10/23/2024
"Sadiq Al-Samarrai, M.D.",Permanent Surrender of License.,10/11/2024
"Benjamin Alan Feinzimer, D.O.",Suspension for six months; Suspension immediately Stayed.,10/07/2024
"Sadiq Al-Samarrai, M.D.",Summary Suspension.,09/30/2024
"Scott C. Moran, M.D.","The Order for the Summary Suspension of License to Practice Medicine, dated June 11, 2024, is terminated as moot. Reprimand. Suspension for a minimum of one year; terms and conditions.",09/18/2024
"Shannon L. West, M.D.","Reprimand. The physician shall provide acceptable written proof confirming that she has produced the previously requested medical record within ten (10) days. If the physician fails to provide satisfactory proof required, the physician's medical license in Maryland shall be automatically suspended from the 11th day. Civil fine of $2,500.00; payable within one year.",09/16/2024
"Ishtiaq Malik, M.D.",Summary Suspension Affirmed.,08/15/2024
"Christopher R. Sheerer, D.O.",Suspension.,08/14/2024
"Jason A. Clem, M.D.","Reprimand. Suspension for a minimum of six months; terms and conditions. Consent Order dated December 14, 2023, is Terminated as Moot. The Summary Suspension dated April 11, 2024, is Terminated as Moot.",07/31/2024
"Ishtiaq Malk, M.D.",Summary Suspension.,07/31/2024
"David T. Issacs, M.D.",Permanent Surrender of License.,07/22/2024
"Tyler Pittman, D.O.",The Physician's license to practice in the State of Maryland is Surrendered until such time that the Physician's license is restored/reinstated by the North Carolina Medical Board.,07/10/2024
"Scott C. Moran, M.D.",Summary Suspension Affirmed.,06/27/2024
"Walter Gianelle, M.D.",Permanent Surrender of License.,06/26/2024
"Aubrey Ancil King, M.D., Applicant",Application for Initial Medical Licensure Denied.,06/24/2024
"Julio Ramirez, M.D.",Permanent Surrender of License.,06/20/2024
